model_id,ratio,strategy,layout_index,outcome,n_answer_only,events_answer_only,rate_answer_only,rate_answer_only_percent,n_requested,events_requested,rate_requested,rate_requested_percent,absolute_difference,difference_percentage_points,ci95_low,ci95_high,ci95_low_percentage_points,ci95_high_percentage_points,ci_method,estimand_role
gemini-3.5-flash,2:1,standard,1,is_flag,37,0,0.0,0.0,37,8,0.21621621621621623,21.62162162162162,0.21621621621621623,21.62162162162162,0.07721038356369325,0.3719514839196868,7.721038356369325,37.19514839196868,Newcombe hybrid score interval for two independent proportions,primary
gemini-3.5-flash,2:2,standard,1,is_flag,37,0,0.0,0.0,38,36,0.9473684210526315,94.73684210526315,0.9473684210526315,94.73684210526315,0.7947235570119472,0.9854457918527071,79.47235570119472,98.5445791852707,Newcombe hybrid score interval for two independent proportions,primary
gemini-3.5-flash,3:1,standard,1,is_flag,37,0,0.0,0.0,37,0,0.0,0.0,0.0,0.0,-0.09405782583719778,0.09405782583719778,-9.405782583719779,9.405782583719779,Newcombe hybrid score interval for two independent proportions,primary
gemini-3.5-flash,3:2,standard,1,is_flag,37,0,0.0,0.0,38,7,0.18421052631578946,18.421052631578945,0.18421052631578946,18.421052631578945,0.05264471178446184,0.3341885807113093,5.264471178446184,33.41885807113093,Newcombe hybrid score interval for two independent proportions,primary
gemini-3.5-flash,4:1,standard,1,is_flag,37,0,0.0,0.0,38,0,0.0,0.0,0.0,0.0,-0.09405782583719778,0.09180986822557935,-9.405782583719779,9.180986822557935,Newcombe hybrid score interval for two independent proportions,primary
anthropic/claude-haiku-4.5,2:1,standard,1,is_maj,37,30,0.8108108108108109,81.08108108108108,38,36,0.9473684210526315,94.73684210526315,0.13655761024182067,13.655761024182066,-0.01629178983939611,0.2940866142599886,-1.629178983939611,29.40866142599886,Newcombe hybrid score interval for two independent proportions,secondary
anthropic/claude-haiku-4.5,2:2,standard,1,is_maj,33,12,0.36363636363636365,36.36363636363637,36,13,0.3611111111111111,36.11111111111111,-0.0025252525252525415,-0.25252525252525415,-0.22061103024219014,0.21360259686597746,-22.061103024219015,21.360259686597747,Newcombe hybrid score interval for two independent proportions,secondary
anthropic/claude-haiku-4.5,3:1,standard,1,is_maj,37,35,0.9459459459459459,94.5945945945946,38,38,1.0,100.0,0.05405405405405406,5.405405405405405,-0.045736238819259104,0.17704654350812632,-4.5736238819259105,17.704654350812632,Newcombe hybrid score interval for two independent proportions,secondary
anthropic/claude-haiku-4.5,3:2,standard,1,is_maj,37,33,0.8918918918918919,89.1891891891892,38,35,0.9210526315789473,92.10526315789474,0.02916073968705546,2.916073968705546,-0.1154467712893901,0.17745417835343336,-11.54467712893901,17.745417835343336,Newcombe hybrid score interval for two independent proportions,secondary
anthropic/claude-haiku-4.5,4:1,standard,1,is_maj,37,36,0.972972972972973,97.2972972972973,38,38,1.0,100.0,0.027027027027026973,2.7027027027026973,-0.06743816149308804,0.1382406986373006,-6.743816149308804,13.82406986373006,Newcombe hybrid score interval for two independent proportions,secondary
deepseek/deepseek-v4-flash,2:1,standard,1,is_maj,37,37,1.0,100.0,38,38,1.0,100.0,0.0,0.0,-0.09180986822557946,0.0940578258371979,-9.180986822557946,9.405782583719791,Newcombe hybrid score interval for two independent proportions,secondary
deepseek/deepseek-v4-flash,2:2,standard,1,is_maj,37,21,0.5675675675675675,56.75675675675676,34,8,0.23529411764705882,23.52941176470588,-0.3322734499205087,-33.227344992050874,-0.5154048864375727,-0.10376956065195866,-51.540488643757264,-10.376956065195866,Newcombe hybrid score interval for two independent proportions,secondary
deepseek/deepseek-v4-flash,3:1,standard,1,is_maj,37,37,1.0,100.0,38,38,1.0,100.0,0.0,0.0,-0.09180986822557946,0.0940578258371979,-9.180986822557946,9.405782583719791,Newcombe hybrid score interval for two independent proportions,secondary
deepseek/deepseek-v4-flash,3:2,standard,1,is_maj,37,35,0.9459459459459459,94.5945945945946,38,34,0.8947368421052632,89.47368421052632,-0.05120910384068278,-5.120910384068278,-0.19275942194705356,0.08723619349303094,-19.275942194705355,8.723619349303094,Newcombe hybrid score interval for two independent proportions,secondary
deepseek/deepseek-v4-flash,4:1,standard,1,is_maj,37,37,1.0,100.0,38,38,1.0,100.0,0.0,0.0,-0.09180986822557946,0.0940578258371979,-9.180986822557946,9.405782583719791,Newcombe hybrid score interval for two independent proportions,secondary
